zip,post_district,comment,region,town,lat,lng
1000,Lausanne,,VD,Lausanne,46.567488,6.6809642
1001,Lausanne 1 cases,PO box only,VD,Lausanne,46.2435256,7.3820734
1002,Lausanne,PO box only,VD,Lausanne,46.5218203,6.6326647
1003,Lausanne Secteur de dist.,,VD,Lausanne,46.5207933,6.6314894
1004,Lausanne,,VD,Lausanne,46.5300393,6.6179495
1005,Lausanne Secteur de dist.,,VD,Lausanne,46.5201391,6.6427496
1006,Lausanne Secteur de dist.,,VD,Lausanne,46.5096537,6.6360259
1007,Lausanne,,VD,Lausanne,46.516054,6.608998
1008,Cery-Fleur-de-Lys,,VD,Prilly,46.544574,6.605012
1008,Jouxtens-Mézery,,VD,Jouxtens-Mézery,46.55043,6.59874
1008,Prilly,,VD,Prilly,46.5346449,6.6052401
1009,Pully,,VD,Pully,46.513112,6.6596571
1010,Lausanne 10 La Sallaz,,VD,Lausanne,46.53327,6.647725
1011,Lausanne,,VD,Lausanne,46.5256281,6.6418895
1012,Lausanne,,VD,Lausanne,46.5277489,6.6573705
1014,Lausanne Adm cant VD,,VD,Lausanne Adm cant VD,46.5205021,6.626834
1015,Lausanne 15 Centre Universitaire,,VD,Lausanne,46.556672,6.6833783
1017,Lausanne Charles Veillon SA,,VD,Lausanne Charles Veillon SA,46.8383824,6.9731603
1018,Lausanne,,VD,Lausanne,46.5341574,6.6303209
1019,Lausanne Services spéciaux,,VD,Lausanne Services spéciaux,46.8383824,6.9731603
1020,Renens VD,,VD,Renens VD,46.53381,6.59137
1020,Renens VD 1,PO box only,VD,Renens VD 1,46.539118,6.582501
1020,Renens VD 2 Village,PO box only,VD,Renens VD 2,46.536955,6.5909451
1022,Chavannes-près-Renens,,VD,Chavannes-près-Renens,46.5278669,6.5718239
1023,Crissier,,VD,Crissier,46.5518687,6.5743458
1023,Crissier 1,PO box only,VD,Crissier 1,46.5503564,6.5780278
1024,Ecublens VD,,VD,Ecublens VD,46.5285135,6.5605744
1024,Renges,,VD,Ecublens VD,46.5238969,6.5534096
1025,St-Sulpice VD,,VD,St-Sulpice VD,46.5127661,6.56122
1026,Denges,,VD,Denges,46.5248345,6.5414283
1026,Echandens,,VD,Echandens,46.5352022,6.5418995
1026,Echandens-Denges,PO box only,VD,Echandens-Denges,46.5371222,6.5369124
1027,Lonay,,VD,Lonay,46.5266468,6.5205487
1028,Préverenges,,VD,Préverenges,46.5170831,6.5280452
1029,Villars-Ste-Croix,,VD,Villars-Ste-Croix,46.5679792,6.561225
1030,Bussigny,,VD,Bussigny,46.5517429,6.558615
1031,Mex VD,,VD,Mex VD,46.577693,6.5525569
1032,Romanel-sur-Lausanne,,VD,Romanel-sur-Lausanne,46.5630648,6.603945
1032,Vernand-Dessus,,VD,Romanel-sur-Lausanne,46.5738509,6.6166543
1033,Cheseaux-sur-Lausanne,,VD,Cheseaux-sur-Lausanne,46.585452,6.6047712
1033,Vernand-Dessous,,VD,Cheseaux-sur-Lausanne,46.577108,6.6086563
1034,Boussens,,VD,Boussens,46.6027375,6.5838525
1035,Bournens,,VD,Bournens,46.6041957,6.5636887
1036,Sullens,,VD,Sullens,46.5935962,6.5660091
1037,Etagnières,,VD,Etagnières,46.5998975,6.6129185
1038,Bercher,,VD,Bercher,46.6920622,6.708587
1039,Cheseaux Polyval,,VD,Cheseaux Polyval,46.2299333,6.9532768
1040,Echallens,,VD,Echallens,46.6410996,6.6344508
1040,St-Barthélemy VD,,VD,St-Barthélemy VD,46.6368795,6.602289
1040,Villars-le-Terroir,,VD,Villars-le-Terroir,46.65755,6.6390489
1041,Bottens,,VD,Bottens,46.6169495,6.6603021
1041,Chardonney-Montaubion,,VD,Dommartin,46.6350262,6.6853649
1041,Dommartin,,VD,Dommartin,46.6496,6.70218
1041,Montaubion-Chardonney,,VD,Montaubion-Chardonney,46.6480636,6.7146856
1041,Naz,,VD,Naz,46.6581296,6.6957236
1041,Poliez-le-Grand,,VD,Poliez-le-Grand,46.63767,6.66287
1041,Poliez-Pittet,,VD,Poliez-Pittet,46.6274641,6.6819435
1042,Assens,,VD,Assens,46.6132945,6.6226762
1042,Bettens,,VD,Bettens,46.6279889,6.5773317
1042,Bioley-Orjulaz,,VD,Bioley-Orjulaz,46.6212,6.59814
1043,Sugnens,,VD,Sugnens,46.6552,6.67183
1044,Fey,,VD,Fey,46.67606,6.68168
1045,Ogens,,VD,Ogens,46.7104182,6.7234914
1046,Rueyres,,VD,Rueyres,46.6937019,6.6926562
1047,Oppens,,VD,Oppens,46.7139815,6.691683
1052,Le Mont-sur-Lausanne,,VD,Le Mont-sur-Lausanne,46.5533123,6.6339915
1053,Bretigny-sur-Morrens,,VD,Bretigny-sur-Morrens,46.5980923,6.641246
1053,Cugy VD,,VD,Cugy VD,46.5851396,6.6402929
1053,Montheron,,VD,Cugy VD,46.5902631,6.6646499
1054,Morrens VD,,VD,Morrens VD,46.5910697,6.6256805
1055,Froideville,,VD,Froideville,46.601503,6.6822073
1058,Villars-Tiercelin,,VD,Villars-Tiercelin,46.6256905,6.70336
1059,Peney-le-Jorat,,VD,Peney-le-Jorat,46.6321479,6.728431
1061,Villars-Mendraz,,VD,Villars-Mendraz,46.647426,6.7292355
1062,Sottens,,VD,Sottens,46.6553889,6.7421726
1063,Boulens,,VD,Boulens,46.6800404,6.7195938
1063,Chapelle-sur-Moudon,,VD,Chapelle-sur-Moudon,46.6689929,6.7346379
1063,Martherenges,,VD,Martherenges,46.66107,6.75322
1063,Peyres-Possens,,VD,Peyres-Possens,46.6633472,6.7067892
1063,Possens,,VD,Peyres-Possens,46.6632987,6.7069838
1066,Epalinges,,VD,Epalinges,46.5488573,6.674199
1066,Les Croisettes,,VD,Epalinges,46.5438222,6.6604287
1068,Les Monts-de-Pully,,VD,Les Monts-de-Pully,46.535411,6.688348
1070,Moreillon,,VD,Puidoux,46.5068996,6.7847566
1070,Puidoux,,VD,Puidoux,46.5131333,6.7825318
1071,Chexbres,,VD,Chexbres,46.481692,6.7788078
1071,Cremières,,VD,Chexbres,46.48243,6.79772
1071,Rivaz,,VD,Rivaz,46.4838689,6.7869985
1071,St-Saphorin (Lavaux),,VD,St-Saphorin (Lavaux),46.4732766,6.7961822
1072,Forel (Lavaux),,VD,Forel (Lavaux),46.54338,6.77082
1073,La Claie-aux-Moines,,VD,Savigny,46.54376,6.70522
1073,Mollie-Margot,,VD,Mollie-Margot,46.55668,6.75057
1073,Savigny,,VD,Savigny,46.5383864,6.7321079
1076,Ferlens VD,,VD,Ferlens VD,46.5889426,6.7855468
1077,Servion,,VD,Servion,46.57147,6.77879
1078,Essertes,,VD,Essertes,46.5623699,6.7891283
1080,Les Cullayes,,VD,Les Cullayes,46.5720997,6.7543068
1081,Montpreveyres,,VD,Montpreveyres,46.5821207,6.7408098
1082,Corcelles-le-Jorat,,VD,Corcelles-le-Jorat,46.6064999,6.7422889
1083,Mézières VD,,VD,Mézières VD,46.5955273,6.7702883
1084,Carrouge VD,,VD,Carrouge VD,46.6043933,6.7748157
1085,Vulliens,,VD,Vulliens,46.622324,6.7921344
1088,Ropraz,,VD,Ropraz,46.6152435,6.7515109
1090,Escherin,,VD,La Croix (Lutry),46.9455933,7.1545243
1090,La Croix (Lutry),,VD,La Croix (Lutry),46.5200128,6.7069649
1091,Aran,,VD,Aran,46.49828,6.71
1091,Chenaux,,VD,Chenaux,46.4958069,6.7286641
1091,Grandvaux,,VD,Grandvaux,46.5069328,6.7238803
1091,Le Tronchet,,VD,Grandvaux,46.5141626,6.7285407
1092,Belmont-sur-Lausanne,,VD,Belmont-sur-Lausanne,46.5191267,6.6789123
1093,La Conversion,,VD,La Conversion,46.5152905,6.684432
1094,Paudex,,VD,Paudex,46.5086319,6.6743056
1095,Bossière,,VD,Lutry,46.509738,6.699324
1095,Corsy,,VD,Lutry,46.5145573,6.6863024
1095,Le Châtelard-sur-Lutry,,VD,Lutry,46.5063689,6.6923302
1095,Lutry,,VD,Lutry,46.5063689,6.6923302
1095,Savuit,,VD,Lutry,46.50728,6.69386
1096,Cully,,VD,Cully,46.4897525,6.7283917
1096,Treytorrens (Lavaux),,VD,Cully,46.4843953,6.7550393
1096,Villette (Lavaux),,VD,Villette (Lavaux),46.4897525,6.7283917
1097,Riex,,VD,Riex,46.4934152,6.7362718
1098,Epesses,,VD,Epesses,46.4935211,6.7464224
1110,Morges,,VD,Morges,46.5129601,6.494382
1110,Morges 1,PO box only,VD,Morges 1,46.509711,6.4998179
1110,Morges 2 La Gottaz,PO box only,VD,Morges 2,46.50716,6.485405
1110,Morges 3 Grosse Pierre,PO box only,VD,Morges 3,46.518468,6.5003248
1112,Echichens,,VD,Echichens,46.5260528,6.4982512
1113,St-Saphorin-sur-Morges,,VD,St-Saphorin-sur-Morges,46.5467516,6.4851024
1114,Colombier VD,,VD,Colombier VD,46.5563035,6.4728374
1115,Vullierens,,VD,Vullierens,46.5748369,6.4844452
1116,Cottens VD,,VD,Cottens VD,46.5720815,6.4539944
1117,Grancy,,VD,Grancy,46.5920275,6.4642847
1117,St-Denis,,VD,Grancy,46.6055226,6.4594141
1121,Bremblens,,VD,Bremblens,46.5454875,6.5186099
1122,Romanel-sur-Morges,,VD,Romanel-sur-Morges,46.5555532,6.5108738
1123,Aclens,,VD,Aclens,46.5677921,6.5099601
1124,Gollion,,VD,Gollion,46.5852808,6.5067932
1125,Monnaz,,VD,Monnaz,46.528668,6.4790064
1126,Vaux-sur-Morges,,VD,Vaux-sur-Morges,46.5355318,6.4632759
1127,Clarmont,,VD,Clarmont,46.5468467,6.4499056
1128,Reverolle,,VD,Reverolle,46.5413758,6.4386829
1131,Tolochenaz,,VD,Tolochenaz,46.4992863,6.4798958
1132,Lully VD,,VD,Lully VD,46.5050101,6.4641451
1134,Chigny,,VD,Chigny,46.5198495,6.4770127
1134,Vufflens-le-Château,,VD,Vufflens-le-Château,46.5250638,6.47441
1135,Denens,,VD,Denens,46.51844,6.45656
1136,Bussy-Chardonney,,VD,Bussy-Chardonney,46.5290671,6.4418597
1141,Sévery,,VD,Sévery,46.576006,6.4382511
1142,Pampigny,,VD,Pampigny,46.580344,6.4274859
